Abert's Towhee,ABTO,Melozone aberti,MELABE
Green Hermit,GREH*,Phaethornis guy,PHAGUY
Green Heron,GRHE,Butorides virescens,BUTVIR
Green Honeycreeper,GRHO,Chlorophanes spiza,CHLSPI
Green Ibis,GRIB,Mesembrinibis cayennensis,MESCAY
Green Jay,GREJ*,Cyanocorax yncas,CYAYNC
Green Kingfisher,GKIN*,Chloroceryle americana,CHLAME
Green Manakin,GMAK*,Cryptopipo holochlora,CRYHOL
Green Mango,GMAG*,Anthracothorax viridis,ANTVIR
Green Parakeet,GREP*,Psittacara holochlorus,PSIHOL
Green Sandpiper,GRSA,Tringa ochropus,TRIOCH
Green Shrike-Vireo,GRSV,Vireolanius pulchellus,VIRPUL
Green Thorntail,GRET*,Discosura conversii,DISCON
Green-and-rufous Kingfisher,GARK,Chloroceryle inda,CHLIND
Green-backed Sparrow,GBSP,Arremonops chloronotus,ARRCHL
Green-breasted Mango,GNBM*,Anthracothorax prevostii,ANTPRE
Green-breasted Mountain-gem,GBMG,Lampornis sybillae,LAMSYB
Green-crowned Brilliant,GCBR,Heliodoxa jacula,HELJAC
Green-fronted Hummingbird,GFHU,Amazilia viridifrons,AMAVIF*
Green-fronted Lancebill,GFRL*,Doryfera ludovicae,DORLUD
Greenish Elaenia,GREL,Myiopagis viridicata,MYIVIR
Greenish Puffleg,GRPU,Haplophaedia aureliae,HAPAUR
Green-naped Tanager,GNTA,Tangara fucosa,TANFUC
Green-rumped Parrotlet,GRUP*,Forpus passerinus,FORPAS
Green-striped Brushfinch,GSBR,Arremon virenticeps,ARRVIR
Green-tailed Towhee,GTTO,Pipilo chlorurus,PIPCHL
Green-tailed Warbler,GTWA,Microligea palustris,MICPAL
Green-throated Carib,GTCA,Eulampis holosericeus,EULHOL
Green-throated Mountain-gem,GTMG,Lampornis viridipallens,LAMVIR
Green-winged Teal,GWTE,Anas crecca,ANACRE
Grenada Dove,GRDO,Leptotila wellsi,LEPWEL
Grenada Flycatcher,GFLY*,Myiarchus nugator,MYINUG
Groove-billed Ani,GBAN,Crotophaga sulcirostris,CROSUL
Guadalupe Caracara,GUCA,Caracara lutosa,CARLUT
Guadalupe Junco,GUJU,Junco insularis,JUNINS
Guadalupe Murrelet,GUMU,Synthliboramphus hypoleucus,SYNHYP
Guadalupe Storm-Petrel,GUSP,Oceanodroma macrodactyla,OCEMAC
Guadeloupe Woodpecker,GUWO,Melanerpes herminieri,MELHER
Gull-billed Tern,GBTE,Gelochelidon nilotica,GELNIL
Gundlach's Hawk,GUHA,Accipiter gundlachi,ACCGUN
Gunnison Sage-Grouse,GUSG,Centrocercus minimus,CENMIN
Gyrfalcon,GYRF,Falco rusticolus,FALRUS
Hairy Woodpecker,HAWO,Picoides villosus,PICVIL
Hammond's Flycatcher,HAFL,Empidonax hammondii,EMPHAM
Hammond's/Dusky Flycatcher,HDFL,Empidonax hammondii/oberho.,EMPHAO
Happy Wren,HAWR,Pheugopedius felix,PHEFEL
Harlan's Hawk,HALH*,Buteo j. harlani,BUTJHA
Harlequin Duck,HADU,Histrionicus histrionicus,HISHIS
Harpy Eagle,HAEA,Harpia harpyja,HARHAR
Harris's Hawk,HASH*,Parabuteo unicinctus,PARUNI
Harris's Sparrow,HASP,Zonotrichia querula,ZONQUE
Hawaii Akepa,HAAK,Loxops coccineus,LOXCOC
Hawaii Amakihi,HAAM,Chlorodrepanis virens,CHLVIR
Hawaii Creeper,HCRE*,Loxops mana,LOXMAN
Hawaii Elepaio,HAEL,Chasiempis sandwichensis,CHASAN
Hawaii Mamo,HAMA,Drepanis pacifica,DREPAC
Hawaii Oo,HAOO,Moho nobilis,MOHNOB
Hawaiian Coot,HACO,Fulica alai,FULALA
Hawaiian Crow,HCRO*,Corvus hawaiiensis,CORHAW
Hawaiian Duck,HAWD*,Anas wyvilliana,ANAWYV
Hawaiian Gallinule,HAGA,Gallinula g. sandvicensis,GALGSA
Hawaiian Goose,HAGO,Branta sandvicensis,BRASAN
Hawaiian Hawk,HAWH*,Buteo solitarius,BUESOL*
Hawaiian Petrel,HAPE,Pterodroma sandwichensis,PTESAN
Hawaiian Rail,HARA,Zapornia sandwichensis,ZAPSAN
Hawaiian Stilt,HAST,Himantopus m. melanurus,HIMMME
Hawfinch,HAWF,Coccothraustes coccothraustes,COCCOT*
Heermann's Gull,HEEG*,Larus heermanni,LARHEE
Helmeted Guineafowl,HELG*,Numida meleagris,NUMMEL
Henslow's Sparrow,HESP,Ammodramus henslowii,AMMHEN
Hepatic Tanager,HETA,Piranga flava,PIRFLA
Herald Petrel,HEPE,Pterodroma heraldica,PTEHER
Hermit Thrush,HETH,Catharus guttatus,CATGUT
Hermit Warbler,HEWA,Setophaga occidentalis,SETOCC
Herring Gull,HERG*,Larus argentatus,LARARG
Highland Guan,HIGU,Penelopina nigra,PENNIG
Highland Tinamou,HITI,Nothocercus bonapartei,NOTBON
Hill Myna,HIMY,Gracula religiosa,GRAREL
Himalayan Snowcock,HISN,Tetraogallus himalayensis,TETHIM
Hispaniolan Crossbill,HICR,Loxia megaplaga,LOXMEG
Hispaniolan Emerald,HIEM,Chlorostilbon swainsonii,CHLSWA
Hispaniolan Lizard-Cuckoo,HILC,Coccyzus longirostris,COCLON
Hispaniolan Oriole,HIOR,Icterus dominicensis,ICTDOM
Hispaniolan Parakeet,HPAK*,Psittacara chloropterus,PSICHL
Hispaniolan Parrot,HPAT*,Amazona ventralis,AMAVEN
Hispaniolan Pewee,HIPE,Contopus hispaniolensis,CONHIS
Hispaniolan Spindalis,HISP,Spindalis dominicensis,SPDDOM*
Hispaniolan Trogon,HITR,Priotelus roseigaster,PRIROS
Hispaniolan Woodpecker,HIWO,Melanerpes striatus,MELSTR
Hoary Redpoll,HORE,Acanthis hornemanni,ACAHOR
Hoffmann's Woodpecker,HOWO,Melanerpes hoffmannii,MELHOF
Honduran Emerald,HOEM,Amazilia luciae,AMALUC
Hooded Crow,HOCR,Corvus cornix,CORCOR
Hooded Grosbeak,HOOG*,Coccothraustes abeillei,COCABE
Hooded Merganser,HOME,Lophodytes cucullatus,LOPCUC
Hooded Oriole,HOOR,Icterus cucullatus,ICTCUC
Hooded Warbler,HOWA,Setophaga citrina,SETCIT
Hooded Yellowthroat,HOYE,Geothlypis nelsoni,GEONEL
Hook-billed Kite,HBKI,Chondrohierax uncinatus,CHOUNC
Horned Grebe,HOGR,Podiceps auritus,PODAUR
Horned Guan,HOGU,Oreophasis derbianus,OREDER
Horned Lark,HOLA,Eremophila alpestris,EREALP
Horned Puffin,HOPU,Fratercula corniculata,FRACOR
House Finch,HOFI,Haemorhous mexicanus,HAEMEX
House Sparrow,HOSP,Passer domesticus,PASDOM
House Wren,HOWR,Troglodytes aedon,TROAED
Hudsonian Godwit,HUGO,Limosa haemastica,LIMHAE
Humboldt's Sapphire,HUSA*,Hylocharis humboldtii,HYLHUM
Hutton's Vireo,HUVI,Vireo huttoni,VIRHUT
Hwamei,HWAM,Garrulax canorus,GARCAN
Iceland Gull,ICGU,Larus glaucoides,LARGLD*
Iiwi,IIWI,Drepanis coccinea,DRECOC
Imperial Parrot,IMPA,Amazona imperialis,AMAIMP
Imperial Woodpecker,IMWO,Campephilus imperialis,CAMIMP
Inagua Woodstar,INWO,Calliphlox lyrura,CALLYR
Inca Dove,INDO,Columbina inca,COLINC
Inca Tern,INTE,Larosterna inca,LARINC
Indian Peafowl,INPE,Pavo cristatus,PAVCRI
Indian Silverbill,INSI,Euodice malabarica,EUOMAB
Indigo Bunting,INBU,Passerina cyanea,PASCYA
Intermediate Egret,INEG,Ardea intermedia,ARDINT
Ipswich Sparrow,IPSP,Passerculus s. princeps,PASSPR
Island Canary,ISCA,Serinus canaria,SERCAN
Island Scrub-Jay,ISSJ,Aphelocoma insularis,APHINS
Isthmian Wren,ISWR,Cantorchilus elutus,CANELU
Ivory Gull,IVGU,Pagophila eburnea,PAGEBU
Ivory-billed Woodcreeper,IBIW*,Xiphorhynchus flavigaster,XIPFLA
Ivory-billed Woodpecker,IBWO,Campephilus principalis,CAMPRI
Jabiru,JABI,Jabiru mycteria,JABMYC
Jack Snipe,JASN,Lymnocryptes minimus,LYMMIN
Jamaican Becard,JABE,Pachyramphus niger,PACNIG
Jamaican Blackbird,JABL,Nesopsar nigerrimus,NESNIG
Jamaican Crow,JACR,Corvus jamaicensis,CORJAM
Jamaican Elaenia,JAEL,Myiopagis cotta,MYICOT
Jamaican Euphonia,JAEU,Euphonia jamaica,EUPJAM
Jamaican Lizard-Cuckoo,JALC,Coccyzus vetula,COCVET
Jamaican Mango,JAMA,Anthracothorax mango,ANTMAN
Jamaican Oriole,JAOR,Icterus leucopteryx,ICTLEU
Jamaican Owl,JAOW,Pseudoscops grammicus,PSEGRA
Jamaican Pauraque,JAPA,Siphonorhis americana,SIPAME
Jamaican Pewee,JAPE,Contopus pallidus,CONPAL
Jamaican Spindalis,JAMS*,Spindalis nigricephala,SPINIG
Jamaican Tody,JATO,Todus todus,TODTOD
Jamaican Vireo,JAVI,Vireo modestus,VIRMOD
Jamaican Woodpecker,JAWO,Melanerpes radiolatus,MELRAD
Japanese Bush-Warbler,JABW,Cettia diphone,CETDIP
Japanese Quail,JAQU,Coturnix japonica,COTJAP
Japanese White-eye,JAWE,Zosterops japonicus,ZOSJAP
Java Sparrow,JASP,Lonchura oryzivora,LONORY
Jet Antbird,JEAN,Cercomacra nigricans,CERNIG
Jouanin's Petrel,JOPE,Bulweria fallax,BULFAL
Juan Fernandez Petrel,JFPE,Pterodroma externa,PTEEXT
Juniper Titmouse,JUTI,Baeolophus ridgwayi,BAERID
Kakawahie,KAKA,Paroreomyza flammea,PARFLA
Kalij Pheasant,KAPH,Lophura leucomelanos,LOPLEU
Kamao,KAMA,Myadestes myadestinus,MYAMYA
Kamchatka Leaf Warbler,KLWA,Phylloscopus examinandus,PHYEXA
Kauai Akialoa,KAAK,Akialoa stejnegeri,AKISTE
Kauai Amakihi,KAAM,Chlorodrepanis stejnegeri,CHLSTE
Kauai Elepaio,KAEL,Chasiempis sclateri,CHASCL
Kauai Nukupuu,KANU,Hemignathus hanapepe,HEMHAN
Kauai Oo,KAOO,Moho braccatus,MOHBRA
Keel-billed Motmot,KBMO,Electron carinatum,ELECAR
Keel-billed Toucan,KBTO,Ramphastos sulfuratus,RAMSUL
Kelp Gull,KEGU,Larus dominicanus,LARDOM
Kentucky Warbler,KEWA,Geothlypis formosa,GEOFOR
Kermadec Petrel,KEPE,Pterodroma neglecta,PTENEG
Key West Quail-Dove,KWQD,Geotrygon chrysia,GEOCHR
Killdeer,KILL,Charadrius vociferus,CHAVOC
King Eider,KIEI,Somateria spectabilis,SOMSPE
King Rail,KIRA,Rallus elegans,RALELE
King Vulture,KIVU,Sarcoramphus papa,SARPAP
Kioea,KIOE,Chaetoptila angustipluma,CHAANG
Kirtland's Warbler,KIWA,Setophaga kirtlandii,SETKIR
Kittlitz's Murrelet,KIMU,Brachyramphus brevirostris,BRABRE
Kona Grosbeak,KOGR,Chloridops kona,CHLKON
La Sagra's Flycatcher,LSFL,Myiarchus sagrae,MYISAG
La Selle Thrush,LSTH,Turdus swalesi,TURSWA
Labrador Duck,LABD*,Camptorhynchus labradorius,CAMLAB
Ladder-backed Woodpecker,LBWO,Picoides scalaris,PICSCA
Lanai Hookbill,LANH*,Dysmorodrepanis munroi,DYSMUN
Lanceolated Monklet,LAMO,Micromonacha lanceolata,MICLAN
Lanceolated Warbler,LANW*,Locustella lanceolata,LOCLAN
Lance-tailed Manakin,LATM*,Chiroxiphia lanceolata,CHILAN
Lapland Longspur,LALO,Calcarius lapponicus,CALLAP
Large Canada Goose,LCGO,Branta c. moffitti,BRACMO
Large-billed Seed-Finch,LBSF,Sporophila crassirostris,SPOCRA
Large-billed Sparrow,LBSP,Passerculus s. rostratus,PASSRO
Large-billed Tern,LBTE,Phaetusa simplex,PHASIM
Large-footed Finch,LFFI,Pezopetes capitalis,PEZCAP
Lark Bunting,LARB*,Calamospiza melanocorys,CALMEC*
Lark Sparrow,LASP,Chondestes grammacus,CHOGRA
Lattice-tailed Trogon,LTTR,Trogon clathratus,TROCLA
Laughing Falcon,LAFA,Herpetotheres cachinnans,HERCAC
Laughing Gull,LAGU,Leucophaeus atricilla,LEUATC*
Lavender Waxbill,LAVW*,Estrilda caerulescens,ESTCAE
Lawrence's Goldfinch,LAGO,Spinus lawrencei,SPILAW
Lawrence's Warbler,LAWA,Vermivora cyanoptera x chrysoptera,VERCCH
Laysan Albatross,LAAL,Phoebastria immutabilis,PHOIMM
Laysan Duck,LAYD*,Anas laysanensis,ANALAY
Laysan Finch,LAFI,Telespiza cantans,TELCAN
Laysan Honeycreeper,LAYH*,Himatione fraithii,HIMFRA
Laysan Rail,LARA,Zapornia palmeri,ZAPPAL
Laysan X Black-foot. Albatross Hybrid,LBFH,Phoebastria immut. X nigripes,PHOIMN
Lazuli Bunting,LAZB*,Passerina amoena,PASAMO
Lazuli x Indigo Bunting Hybrid,LIBH,Passerina amoena x cyanea,PASAMC
Leach's Storm-Petrel,LESP,Oceanodroma leucorhoa,OCELEU
Least Auklet,LEAU,Aethia pusilla,AETPUS
Least Bell's Vireo,LBVI,Vireo b. pusillus,VIRBPU
Least Bittern,LEBI,Ixobrychus exilis,IXOEXI
Least Flycatcher,LEFL,Empidonax minimus,EMPMIN
Least Grebe,LEGR,Tachybaptus dominicus,TACDOM
Least Pauraque,LEPA,Siphonorhis brewsteri,SIPBRE
Least Sandpiper,LESA,Calidris minutilla,CALMIL*
Least Storm-Petrel,LSTP*,Oceanodroma microsoma,OCEMIC
Least Tern,LETE,Sternula antillarum,STEANT
LeConte's Sparrow,LCSP,Ammodramus leconteii,AMMLEC
LeConte's Thrasher,LCTH,Toxostoma lecontei,TOXLEC
Lemon-spectacled Tanager,LSTA,Chlorothraupis olivacea,CHLOLI
Lesser Akialoa,LEAK,Akialoa obscura,AKIOBS
Lesser Antillean Bullfinch,LANB*,Loxigilla noctis,LOXNOC
Lesser Antillean Flycatcher,LAFL,Myiarchus oberi,MYIOBE
Lesser Antillean Pewee,LAPE,Contopus latirostris,CONLAT
Lesser Antillean Saltator,LASA,Saltator albicollis,SALALB
Lesser Antillean Swift,LASW,Chaetura martinica,CHAMAR
Lesser Antillean Tanager,LATA,Tangara cucullata,TANCUC
Lesser Black-backed Gull,LBBG,Larus fuscus,LARFUS
Lesser Elaenia,LEEL,Elaenia chiriquensis,ELACHI
Lesser Frigatebird,LEFR,Fregata ariel,FREARI
Lesser Golden-Plover,LEGP,Pluvialis dominica/fulva,PLUDOF
Lesser Goldfinch,LEGO,Spinus psaltria,SPIPSA
Lesser Greenlet,LESG*,Pachysylvia decurtata,PACDEC
Lesser Ground-Cuckoo,LEGC,Morococcyx erythropygus,MORERY
Lesser Kiskadee,LEKI,Pitangus lictor,PITLIC
Lesser Koa-Finch,LEKF,Rhodacanthis flaviceps,RHOFLA
Lesser Nighthawk,LENI,Chordeiles acutipennis,CHOACU
Lesser Prairie-Chicken,LEPC,Tympanuchus pallidicinctus,TYMPAL
Lesser Redpoll,LERE,Acanthis cabaret,ACACAB
Lesser Roadrunner,LERO,Geococcyx velox,GEOVEL
Lesser Sand-Plover,LSAP*,Charadrius mongolus,"CHAMOG
*"
Lesser Scaup,LESC,Aythya affinis,AYTAFF
Lesser Snow Goose Blue-morph,LSGB,Anser c. caerulescens,ANSCCA
Lesser Snow Goose Intermediate-morph,LSGI,Anser c. caerulescens,ANSCCA
Lesser Snow Goose White-morph,LSGW,Anser c. caerulescens,ANSCCA
Lesser Swallow-tailed Swift,LSTS,Panyptila cayennensis,PANCAY
Lesser Violetear,LEVI,Colibri cyanotus,COLCYA
Lesser White-fronted Goose,LWFG,Anser erythropus,ANSERY
Lesser Whitethroat,LEWH,Sylvia curruca,SYLCUR
Lesser Yellow-headed Vulture,LYHV,Cathartes burrovianus,CATBUR
Lesser Yellowlegs,LEYE,Tringa flavipes,TRIFLA
Lesson's Motmot,LEMO,Momotus lessonii,MOMLES
Lewis's Woodpecker,LEWO,Melanerpes lewis,MELLEW
Light-mantled Albatross,LMAL,Phoebetria palpebrata,PHOPAL
Lilac-crowned Parrot,LCPA,Amazona finschi,AMAFIN
Limpkin,LIMP,Aramus guarauna,ARAGUA
Lincoln's Sparrow,LISP,Melospiza lincolnii,MELLIN
Lineated Foliage-gleaner,LIFG,Syndactyla subalaris,SYNSUB
Lineated Woodpecker,LIWO,Dryocopus lineatus,DRYLIN
Lined Seedeater,LISE,Sporophila lineola,SPOLIN
Little Bittern,LIBI,Ixobrychus minutus,IXOMIN
Little Blue Heron,LBHE,Egretta caerulea,EGRCAE
Little Bunting,LIBU,Emberiza pusilla,EMBPUS
Little Cuckoo,LITC*,Coccycua minuta,COCMIT*
Little Curlew,LICU,Numenius minutus,NUMMIN
Little Egret,LIEG,Egretta garzetta,EGRGAR
Little Gull,LIGU,Hydrocoloeus minutus,HYDMIN
Little Ringed Plover,LRPL,Charadrius dubius,CHADUB
Little Stint,LIST,Calidris minuta,CALMIA*
Little Tern,LITE,Sternula albifrons,STEALB
Little Tinamou,LITI,Crypturellus soui,CRYSOU
Loggerhead Kingbird,LOKI,Tyrannus caudifasciatus,TYRCAU
Loggerhead Shrike,LOSH,Lanius ludovicianus,LANLUD
Long-billed Curlew,LBCU,Numenius americanus,NUMAME
Long-billed Dowitcher,LBDO,Limnodromus scolopaceus,LIMSCO
Long-billed Gnatwren,LBGN,Ramphocaenus melanurus,RAMMEL
Long-billed Hermit,LBIH*,Phaethornis longirostris,PHALON
Long-billed Murrelet,LBMU,Brachyramphus perdix,BRAPER
Long-billed Starthroat,LBST,Heliomaster longirostris,HELLON
Long-billed Thrasher,LBTH,Toxostoma longirostre,TOXLON
Long-eared Owl,LEOW,Asio otus,ASIOTU
Long-tailed Duck,LTDU,Clangula hyemalis,CLAHYE
Long-tailed Jaeger,LTJA,Stercorarius longicaudus,STELON
Long-tailed Manakin,LOTM*,Chiroxiphia linearis,CHILIN
Long-tailed Sabrewing,LTSA,Campylopterus excellens,CAMEXC
Long-tailed Silky-flycatcher,LTSF,Ptiliogonys caudatus,PTICAU
Long-tailed Tyrant,LTTY,Colonia colonus,COLCOL
Long-tailed Woodcreeper,LTWO,Deconychura longicauda,DECLON
Long-tailed Wood-Partridge,LTWP,Dendrortyx macroura,DENMAC
Long-toed Stint,LTST,Calidris subminuta,CALSUM*
Long-winged Harrier,LWHA,Circus buffoni,CIRBUF
Louisiana Waterthrush,LOWA,Parkesia motacilla,PARMOT
Lovely Cotinga,LOCO,Cotinga amabilis,COTAMA
Lucifer Hummingbird,LUHU,Calothorax lucifer,CALLUC
Lucy's Warbler,LUWA,Oreothlypis luciae,ORELUC
MacGillivray's Warbler,MGWA,Geothlypis tolmiei,GEOTOL
Magenta-throated Woodstar,MTWO,Calliphlox bryantae,CALBRY
Magnificent Frigatebird,MAFR,Fregata magnificens,FREMAG
Magnolia Warbler,MAWA,Setophaga magnolia,SETMAG
Maguari Stork,MAST,Ciconia maguari,JCICMA
Mallard,MALL,Anas platyrhynchos,ANAPLA
Mangrove Cuckoo,MACU,Coccyzus minor,COCMIR*
Mangrove Hummingbird,MAHU,Amazilia boucardi,AMABOU
Mangrove Rail,MARA,Rallus longirostris,RALLON
Mangrove Swallow,MANS*,Tachycineta albilinea,TACALB
Mangrove Vireo,MAVI,Vireo pallens,VIRPAL
Mangrove Warbler,MANW*,Setophaga petechia erithachorides,SETPER
Manx Shearwater,MASH,Puffinus puffinus,PUFPUF
Marbled Godwit,MAGO,Limosa fedoa,LIMFED
Marbled Murrelet,MAMU,Brachyramphus marmoratus,BRAMAR
Marbled Wood-Quail,MAWQ,Odontophorus gujanensis,ODOGUJ
Mariana Swiftlet,MASW,Aerodramus bartschi,AERBAR
Markham's Storm-Petrel,MASP,Oceanodroma markhami,OCEMAR
Maroon-chested Ground-Dove,MCGD,Claravis mondetoura,CLAMON
Maroon-fronted Parrot,MFPA,Rhynchopsitta terrisi,RHYTER
Marsh Sandpiper,MASA,Tringa stagnatilis,TRISTA
Marsh Wren,MAWR,Cistothorus palustris,CISPAL
Martinique Oriole,MAOR,Icterus bonana,ICTBON
Masked Booby,MABO,Sula dactylatra,SULDAC
Masked Duck,MADU,Nomonyx dominicus,NOMDOM
Masked Tityra,MATI,Tityra semifasciata,TITSEM
Masked Yellowthroat,MAYE,Geothlypis aequinoctialis,GEOAEQ
Maui Akepa,MAAK,Loxops ochraceus,LOXOCH
Maui Alauahio,MAAL,Paroreomyza montana,PARMON
Maui Nukupuu,MANU,Hemignathus affinis,HEMAFF
Maui Parrotbill,MAPA,Pseudonestor xanthophrys,PSEXAN
Maui-nui Akialoa,MNAK,Akialoa lanaiensis,AKILAN
McCown's Longspur,MCLO,Rhynchophanes mccownii,RHYMCC
McKay's Bunting,MKBU,Plectrophenax hyperboreus,PLEHYP
Meadow Pipit,MEPI,Anthus pratensis,ANTPRA
Mealy Parrot,MEAP*,Amazona farinosa,AMAFAR
Melodious Blackbird,MEBL,Dives dives,DIVDIV
Merlin,MERL,Falco columbarius,FALCOL
Mew Gull,MEGU,Larus canus,LARCAN
Mexican Chickadee,MECH,Poecile sclateri,POESCL
Mexican Duck,MEDU,Anas p. diazi,ANAPDI
Mexican Hermit,MEHE,Phaethornis mexicanus,PHAMEX
Mexican Jay,MEJA,Aphelocoma wollweberi,APHWOL
Mexican Parrotlet,MEXP*,Forpus cyanopygius,FORCYA
Mexican Sheartail,MESH,Doricha eliza,DORELI
Mexican Violetear,MEVI,Colibri thalassinus,COLTHA
Mexican Whip-poor-will,MWPW,Antrostomus arizonae,ANTARI
Mexican Woodnymph,MEWO,Thalurania ridgwayi,THARID
Middendorff's Grasshopper-Warbler,MIGW,Locustella ochotensis,LOCOCH
Military Macaw,MIMA,Ara militaris,ARAMIL
Millerbird,MILL,Acrocephalus familiaris,ACRFAM
Minima Cackling Goose,MCGO,Branta h. minima,BRAHMI
Mississippi Kite,MIKI,Ictinia mississippiensis,ICTMIS
Mitred Parakeet,MIPA,Psittacara mitratus,PSIMIT
Monk Parakeet,MOPA,Myiopsitta monachus,MYIMON
Montezuma Oropendola,MORO*,Psarocolius montezuma,PSAMON
Montezuma Quail,MONQ*,Cyrtonyx montezumae,CYRMON
Montserrat Oriole,MORI*,Icterus oberi,ICTOBE
Mottled Duck,MODU,Anas fulvigula,ANAFUL
Mottled Owl,MOOW,Ciccaba virgata,CICVIR
Mottled Petrel,MOPE,Pterodroma inexpectata,PTEINE
Mountain Bluebird,MOBL,Sialia currucoides,SIACUR
Mountain Chickadee,MOCH,Poecile gambeli,POEGAM
Mountain Elaenia,MOEL,Elaenia frantzii,ELAFRA
Mountain Plover,MOPL,Charadrius montanus,CHAMOT*
Mountain Quail,MOUQ*,Oreortyx pictus,OREPIC
Mountain Thrush,MOTH,Turdus plebejus,TURPLE
Mountain Trogon,MOTR,Trogon mexicanus,TROMEX
Mountain White-crowned Sparrow,MWCS,Zonotrichia l. oriantha,ZONLOR
Mourning Dove,MODO,Zenaida macroura,ZENMAC
Mourning Warbler,MOWA,Geothlypis philadelphia,GEOPHI
Mouse-colored Tyrannulet,MCTY,Phaeomyias murina,PHAMUR
Moustached Antwren,MOAN,Myrmotherula ignota,MYRIGN
Mugimaki Flycatcher,MUFL,Ficedula mugimaki,FICMUG
Murphy's Petrel,MUPE,Pterodroma ultima,PTEULT
Muscovy Duck,MUDU,Cairina moschata,CAIMOS
Mute Swan,MUSW,Cygnus olor,CYGOLO
Myrtle Warbler,MYWA,Setophaga coronata coronata,SETCCO
Nanday Parakeet,NAPA,Aratinga nenday,ARANEN
Narcissus Flycatcher,NAFL,Ficedula narcissina,FICNAR
Narrow-billed Tody,NBTO,Todus angustirostris,TODANG
Nashville Warbler,NAWA,Oreothlypis ruficapilla,ORERUF
Nava's Wren,NAWR,Hylorchilus navai,HYLNAV
Nazca Booby,NABO,Sula granti,SULGRA
Nelson's Sparrow,NESP,Ammodramus nelsoni,AMMNEL
Neotropic Cormorant,NECO,Phalacrocorax brasilianus,PHABRA
Newell's Shearwater,NESH,Puffinus newelli,PUFNEW
Nicaraguan Grackle,NIGR,Quiscalus nicaraguensis,QUINIC
Nicaraguan Seed-Finch,NISF,Sporophila nuttingi,SPONUT
Nightingale Wren,NIWR,Microcerculus philomela,MICPHI
Nihoa Finch,NIFI,Telespiza ultima,TELULT
Northern Barred-Woodcreeper,NOBW,Dendrocolaptes sanctithomae,DENSAN
Northern Beardless-Tyrannulet,NOBT,Camptostoma imberbe,CAMIMB
Northern Bentbill,NOBE,Oncostoma cinereigulare,ONCCIN
Northern Bobwhite,NOBO,Colinus virginianus,COLVIR
Northern Boobook,NOBB*,Ninox japonica,NINJAP
Northern Cardinal,NOCA,Cardinalis cardinalis,CARCAI*
Northern Emerald-Toucanet,NOET,Aulacorhynchus prasinus,AULPRA
Northern Flicker,NOFL,Colaptes auratus,COLAUT*
Northern Flicker Intergrade,NFIN,Colaptes a.auratus x cafer,COLAAC
Northern Fulmar,NOFU,Fulmarus glacialis,FULGLA
Northern Gannet,NOGA,Morus bassanus,MORBAS
Northern Goshawk,NOGO,Accipiter gentilis,ACCGEN
Northern Harrier,NOHA,Circus hudsonius,CIRHUD
Northern Hawk Owl,NHOW,Surnia ulula,SURULU
Northern Jacana,NOJA,Jacana spinosa,JACSPI
Northern Lapwing,NOLA,Vanellus vanellus,VANVAN
Northern Mockingbird,NOMO,Mimus polyglottos,MIMPOL
Northern Parula,NOPA,Setophaga americana,SETAME
Northern Pintail,NOPI,Anas acuta,ANAACU
Northern Potoo,NORP*,Nyctibius jamaicensis,NYCJAM
Northern Pygmy-Owl,NOPO,Glaucidium gnoma,GLAGNO
Northern Red Bishop,NRBI,Euplectes franciscanus,EUPFRA
Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,STESER
Northern Saw-whet Owl,NSWO,Aegolius acadicus,AEGACA
Northern Schiffornis,NOSC,Schiffornis veraepacis,SCHVER
Northern Scrub-Flycatcher,NOSF,Sublegatus arenarum,SUBARE
Northern Shoveler,NSHO*,Spatula clypeata,SPACLY
Northern Shrike,NSHR*,Lanius borealis,LANBOR
Northern Waterthrush,NOWA,Parkesia noveboracensis,PARNOV
Northern Wheatear,NOWH,Oenanthe oenanthe,OENOEN
Northwestern Crow,NOCR,Corvus caurinus,CORCAU
Nuttall's White-crowned Sparrow,NWCS,Zonotrichia l. nuttalli,ZONLNU
Nuttall's Woodpecker,NUWO,Picoides nuttallii,PIDNUT*
Nutting's Flycatcher,NUFL,Myiarchus nuttingi,MYINUT
Oahu Akepa,OAKE*,Loxops wolstenholmei,LOXWOL
Oahu Akialoa,OAKI*,Akialoa ellisiana,AKIELL
Oahu Alauahio,OAAL,Paroreomyza maculata,PAMMAC*
Oahu Amakihi,OAAM,Chlorodrepanis flava,CHDFLA*
Oahu Elepaio,OAEL,Chasiempis ibidis,CHAIBI
Oahu Nukupuu,OANU,Hemignathus lucidus,HEMLUC
Oahu Oo,OAOO,Moho apicalis,MOHAPI
Oak Titmouse,OATI,Baeolophus inornatus,BAEINO
Oaxaca Sparrow,OASP,Aimophila notosticta,AIMNOT
Ocellated Antbird,OCAN,Phaenostictus mcleannani,PHAMCL
Ocellated Crake,OCCR,Micropygia schomburgkii,MICSCH
Ocellated Poorwill,OCPO,Nyctiphrynus ocellatus,NYCOCE
Ocellated Quail,OCQU,Cyrtonyx ocellatus,CYROCE
Ocellated Thrasher,OCTH,Toxostoma ocellatum,TOXOCE
Ocellated Turkey,OCTU,Meleagris ocellata,MELOCE
Ochraceous Pewee,OCPE,Contopus ochraceus,CONOCH
Ochraceous Wren,OCWR,Troglodytes ochraceus,TROOCH
